평균공부시간(1주일),평균수면시간(1일),학점(4.5만점)
25,6,3.8
13.5,6.5,3.3
26,8,4.15
12,7,3.15
25,7,4.12
10,7,3.1
23,12,3.65
25,7,3.8
23,5,3.55
16,6,3.5
7,7,3.15
10,9,2.95
22,6.5,3.95
17,7,3.5
8,6,3.25
32,7,3.97
15,7.5,3.17
20,7,3.25
3,8,1.95
10,7,3.05
13,7.5,3.5
24,7,3.95
28,5,4.3
20,7,3.65
24,5,4.05
25,6,4.16
25,7,3.87
20,8,3.41
6.5,8,2.7
26,6.5,4
22,7,3.7
7,7,2.84
23,7,3.65
31.5,7,4.44
14,7,3.3
21,6,3.6
10,8,3.25
23,6.17,4.01
8,9,3.15
0,8,0.75
9,8,3.4
12,6,2.77
9,7,3
18,7,3.61
32,8,4.03
25,4,3.9
15.5,8,3.7
14,5,3.55
24,5,3.3
5,6,2.82
16,8,3.2
22.49,7,3.75
28,6,4.3
19,8,3.65
26,7,4.15
12.5,7,3.3
6,7,3.14
22,5,3.98
34,4.5,3.85
24,6,3.8
11,8.33,3.5
16,6.5,3.79
7,5,2.65
31,6.5,3.64
2,8,1.9
5,7,3.1
20,5.5,3.82
30,9,4.3
4,8.17,2.65
10,7,3.45
10,6,3.17
21,7,3.8
18,6,3.77
14,8,3.56
10,7,3.4
3,7,2.65
24,6,4.1
29,5,4.23
4,5,2.78
20,7,3.9
1,7,1.8
21,7,4
9,5,3.4
20,7,3.27
22,7,3.99
3,6,2.7
10,7,3
5,6,3.13
21,6,3.6
7,5,3.12
5,7,2.94
2,5,2.65
18,6.5,3.5
3,5,1.75
19,8.5,3.65
26,7,3.82
22,5,3.7
12,8,3.4
23,6,4.01
23,7,3.95
3,7,2.15
0,8,1.45
6,4,2.88
28,6,4.08
12,7,3.2
13,7,2.65
22.5,7,3.8
9,7,3.43
26,8,4.2
15,6,3.5
22,9,3.25
12.5,6,3.5
9,7,3.27
10,8,3.05
9,7,3.35
23,6,3.2
28,7,3.85
22,7,4.04
9,7,3.45
6,7,2.98
22,7,3.8
11,6.5,3.5
15.5,7,3.7
14.5,8,3.75
12,7,3.2
8,8,3.18
12,6.5,3.22
45,6.5,4.42
18.5,6,3.7
9,6,3.45
12,7,2.85
13,6,3.49
22,8,3.8
9,7,3
13,7,3.55
11,7,3.36
15,9,3.13
4,8,1.9
8.5,4.5,3.4
25,7,4.25
19,7,3.58
14,7,3.3
0,8,1.4
14.66,7,3.77
28,7,4.3
7,8,3
18,8,2.9
23,8,3.6
30,8,4.3
7,7,2.35
