평균공부시간(1주일),평균수면시간(1일),학점(4.5만점)
22,7,3.45
12,8.5,2.89
0,8,1.3
24,6.5,3.5
10,7,3.45
11,6,2.64
23,6,3.61
21,6,3.55
1,5,1.75
3,7,2.7
15,6,3.5
15,5,3.3
28,7,4.15
21,5,3.7
8,6,3.03
10,5,3.13
6,9,2.62
10,6,3.3
22,8,4.01
22,7,3.95
22,7,3.8
14,7,3.4
19,7,3.63
16,6,3.57
0,5,1.75
14,6,3.35
19,8,3.68
9,7,3.25
5,4,2.92
22,6,3.7
6,7,2.66
17,5,3
21,6.5,3.6
3,7.5,2.79
28,7,4.2
10,7,3.35
8,6,3
5,7,3
6,6,2.75
15,6,2.85
12,7,3.1
6,7,2.69
30,6.5,4.46
5,7,3.25
10,6.5,2.55
0,7.5,1.94
13,7,3.54
19,7,3.97
6.5,5,2.85
20,6.5,3.65
9,7,3.1
21,6,3.85
8,7,3.35
12,7,3
12,7.5,3.55
17,7,3.7
3,7,2.82
28,6,4.07
17.5,6,3.75
10,7,3.5
13,6,3.5
12,7,3.55
23,6.66,3.55
10,6,3.55
5,7,2.75
15,8,2.9
20,7,3.65
6,6,3.1
4,5,2.85
1,7,2.31
40,9,4.4
15.5,4.5,3.55
15,6,3.25
24,7,3.8
34,7,4.34
14,7,3.35
5,7,1.85
49,9,4.47
15,7,3.65
25,6,4.3
3.33,6,2.7
23,6,3.61
28,7,4.15
12,7,3.55
28,6,3.9
9,7,3.4
5,5,3.15
15,8,3.4
28,6,4.25
8,8,3.15
4,6.5,2.5
4,7,3.05
29,5,4.12
25,7,4
16,3,3.75
17,6,3.75
5,7.33,3.15
22,5,3.74
17.5,7,3.75
16,5,3.3
22,8,3.7
28,6,4.35
6,10,3.2
20,6.66,3.64
21,6,3.85
4,7,1.92
5,5,3.15
13,6,3.47
16,6,3.72
30,8,3.9
24,6.5,3.85
5,8,2.75
5,8,2.55
25,8,3.82
5,6,3.1
21,8,3.85
30,6,4.35
9,6,2.6
28,5,3.58
27,6.5,4.19
3,7,2.65
18,9.33,3.41
9,7,3.05
23,7,3.53
7,8,3.25
14,6,3.34
6,8,3.15
11,6,3.4
12,7,3.5
19.5,7,3.75
0,8,0.8
25,10,4.04
18,6.5,3.82
20,8,3.35
10,7,3.1
18.5,6,3.63
25,6,4.08
5,8,3.1
8,6,2.71
6,6,2.75
13,6,2.9
21.5,6,3.65
28,7,3.9
24,8,4
20,8,3
10,7,3.5
18,4.5,3.71
30,9,3.91
5,6,3.07
14,7,3.67
8,6,2.85
1,7,2.15
13,8.17,3.15
19,7.5,3.67
24,6.5,3.48
18.17,8,3.7
7,6,2.85
24,5.5,3.65
10,7,2.95
18,6,3.45
8,7,3.1
25,6,4.25
49,6,4.5
4,8,2.8
0,8,1.4
22,7,3.68
19,6.5,3.83
26,4,3.82
13,8,3.35
22,7,3.85
4,7.5,2.89
13,8,3.15
14,9,3.7
24,6.5,4.07
17,4,3.75
16.17,7,3.75
23,7,3.18
15,6,3.68
18,7,3.87
28,7,4.21
22,6,3.7
23,9,3.6
23,7,3.78
0,7.5,1.94
22,7,3.92
12,7,3.25
3,5,1.76
5,8,2.65
0,8,1.4
26.5,7,4.15
3,8,1.8
11,6,3.25
6,6,3.18
3.66,6.5,2.8
11,7,3.4
28,7,4.04
14.5,7,3.4
38,6.5,4.19
0,8,1.3
10,8,2.9
12,7,3.5
28,6,4.17
6,8,3.15
22,6,3.9
3,8,1.8
25,7,3.85
12,7,3.57
16,8.5,3.72
24,6,3.1
15,6,3.45
8,7,3
9,8,3.37
4,7,2.1
12,6.5,3.25
28,5,3.84
1,7,1.7
15,6.5,3.7
32,7,3.95
12,8,3.15
20,5,3.73
16.5,7,3.75
33,7,4.35
22,8,3.84
14.17,9,3.75
20,8,3.43
22,8,3.9
27,6,4.12
2,8,2.3
22,5,3.9
25,7,4.26
20,4,3.3
6,7,3.1
24,7,3.2
5,7,3.13
16,8,3.5
2,5,1.75
17,7.5,3.61
15.5,6,3.75
6,6,3
10,6,3.5
0,7,1.7
22.5,7,3.8
5,6,2.25
14,7,3.64
25,7,4.1
14,5,3.75
5,4,3.1
27,7,4.2
9,7,2.74
10,7,3.57
22.5,9,3.6
0,6,1.24
17,6,3.1
22,8.66,3.8
2,5,1.75
14,5,3.5
5,5.5,3.21
11,6,3.55
28,7,4.18
20,9,3.15
30,6,4.05
20,8,3.6
21,8,4
4,5,2.65
13,7,3.45
5.5,6.33,3
15,7,3.55
11,6,3.2
8,7,3.1
25,6,4.16
28,8,3.9
42,7,4.5
6,6,3
17,6,3.64
8,7,2.65
5,8,3.25
24.5,4.5,3.93
25,7,3.5
14.5,6.5,3.65
5,7,2.62
15,7,3.25
10,6,3.55
10,8,3.4
2,7.5,2.7
24,7,3.9
19,7,3.82
17.5,7,3.75
28,7,3.9
15,8,3.4
14,7,3.35
19.5,6,3.73
21,8,3.81
22,6,3.93
7.5,7,2.8
10,4,3.53
35,7,4.42
24,7,3.8
17,5,3.75
13.5,6,2.9
22,7,3.92
6,5,2.9
14.5,5,3.75
3,9,2.53
21,7,3.85
29,6.5,3.98
5,7,3.05
25,7,3.8
8,5.5,3.25
20,5,3.65
10,8,2.47
24,6,3.61
10,8,3.3
20,7,3.73
24,7,4.05
21,8,4
28,6.5,4.1
10,6.17,2.7
25,7,4.21
13,9,3
12,6,3.11
9,6,2.9
27,7,4.1
25,7,4.04
10,6,2.92
8,8,3.22
26,6.5,4.3
10,6,2.5
28,7,4.19
7,6.5,3.25
28,6.5,4.25
25,7,3.8
2,7,2.73
15,6,3.34
35,5,4.39
14,7,3.3
23,6,4.05
11,6,2.7
13,7,3.06
20,6,3.48
10,9,2.93
21,6.5,3.93
8,8,3
25.5,8.33,4.1
30,7,4.3
17,8,3.65
6,7,3.2
11,6.5,2.63
13.5,6.17,3.49
6,6,3.2
22,7,3.19
25,4,3.7
16.5,6,3.77
5,7,2.95
9,7,3.35
3,8,1.8
7.5,12,2.54
2,7,2.65
10,7,3.53
15,7,3.6
3,9,2.81
20,7,3.8
3,7,1.85
10,8,3.05
19,7,3.35
9,7,3
13.5,6,3.55
5,7,3.1
4,6,2.5
5,6,2.8
4,9,2.7
6,5.5,2.7
24,6,3.6
14,8,3.25
28,7,4.1
17,7,3.15
20,6,3.85
27,5,3.8
22,7.5,3.9
8,6.5,2.75
14,7,3.73
3,3,2.65
14,6,3.7
30,7,4.3
11,7,2.9
7,7,2.8
4,9,2.4
9,5,2.9
10,7,3.55
9,7,3.35
10,7.5,2.92
12,6,3
21.83,5.17,3.75
7,7,3.2
13,8,3.35
20,8,3.3
21,5,3.8
10,7,3.05
14,7,3.3
12,6,3.5
7,7,2.45
13,6,2.9
16,6,3.75
21,7,3.62
24,6.5,3.86
19,7.5,3.1
6,7,3.2
23,9,3.8
22,5,3.95
24,6,3.8
23,8,3.9
4,7,3.05
14.17,7,3.55
16,6,3.3
16,6,3.55
30,4.5,3.9
2,5,2.45
19,6,3.52
17,5,3
28,7,4.05
11,6,3.55
9,7,3.05
24,7,4
38,7,3.9
16,6.5,3
8.5,6,3.2
25,7,3.85
24,6.5,3.8
14,7,3.3
7,8.5,2.65
14,6,3.5
28,5,3.8
6,7,3
15.67,6.5,3.7
11,7,3.3
25.5,6.5,3.99
24,6,3.8
26,7,3.9
21,7,3.7
7,7.5,3
3,4.5,2.77
12,6,2.93
1,7,1.92
14,8,3
24.33,6,3.9
16,7,3.2
15,5,3.46
28,6.5,3.9
12,8,2.65
5,7,2.69
10,7,3.25
13,7,3.45
8,6,2.76
25,6,3.94
13.5,5,3.5
14.33,5,3.5
7,7,3.15
17,8,3.63
29,5,3.91
7,8.5,3.07
28,5,4.37
5,6,2.34
24.5,6,4.15
28,6,4.25
8,7,3.2
2.5,7,2.79
14,6,3.4
7,7,3.15
25,7.5,3.9
19,7,3.98
28,7,4.05
19,7,3.62
17,6,3.69
14,9.17,3.4
10,7,3.14
26,7,3.89
11,8,3.59
10,7,3.5
3,7,2.85
4,7,2.7
10,7,3.5
28,6,4.39
18,7,3.6
15.5,7,3.59
9,8,3.3
30,7,3.85
15,7,2.65
24,7,3.33
5,5,2.89
8,6.66,3.1
21,7,3.7
9,6.5,3.05
10,5,3.1
2,7,1.92
7,7,3
9,7,3.2
6,7,3.15
20,8,3.85
17,9,3.62
15,8,3.55
11,7,3.45
10,9,2.95
24,7,4
26,6.5,4.15
22,6.33,3.7
21,8,3.7
22,5,3.88
20,7,3.63
16,6,3.65
7,8,3.15
7.5,8,3.1
32,9,3.7
7,6,2.4
6,6,3.01
6,6.5,2.8
22,7,3.73
20,7,3.25
4,5.5,2.55
15,7,3.5
8,7,3.15
17,7,3.75
23,5.5,3.4
22,9,3.64
5,10,2.85
26,7,3.65
11,6,3.3
14,7,3.55
24,7,3.4
22,6,3.96
22,7,3.8
22,7,3.6
13,6,3.35
3,10,2.1
22,6,3.85
15,7,3.02
12,6,3.15
22,9,3.86
16,7,3.7
16,8.5,3.22
3,8,2.75
9,6,3.15
24,7,4.05
17,8,3.65
2,7,2.79
24,7,3.85
22,7,3.8
26,5.33,4.08
12,7,3.24
14,6,3.1
0,8,0.75
19,8,3.75
19,6.5,3.62
27.5,6,4.12
34,8,3.8
5,6,3.1
9,6,3.1
27,4,4.1
4.5,12,2.9
9,7.5,3.05
7,7,2.85
16,7,2.95
28,6,4.22
21,6,3.65
7,8,3.05
8,8.5,2.65
9.5,6,3.25
40,6,4.1
9,7,3.34
25.5,7,4.03
15,7,3.2
19,8,3.88
16,5,3.3
30.5,7,4.12
24,8,3.8
0,8,1.44
4,6,2.79
1,7,1.6
14,7,3.3
1,7,1.7
18,6.5,3.2
3,8,2.6
18,6.5,3.7
3,6,2
24,7,4.12
12,8,2.85
8,6,3
11,7,3.55
28,7,4.16
22,7,3.7
21,6,3.9
5,8,2.95
13,6.5,3.4
15,9,3.5
21,7,4
25,4,4.15
7,6,2.85
20.5,7,3.65
24,6,4.14
5,5.33,2.9
28,5,4.26
